ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
89,115,,7.96E+017,11/5/2016 20:28:00,7.95E+017,22232322,"TRUMP: I hear good things about Famous Dave's BBQ. Thus, hello, Minneapolis!
RYAN: Minnesota's not known for its barbecue.
TRUMP: Meow, Paul",,akuma_river,,
90,395,,7.96E+017,11/5/2016 20:29:00,7.95E+017,22232322,"TRUMP: Wait a minute. The hell?
RYAN: What?
TRUMP: You subtweeting my wife now, Paul?
RYAN: Oh... wow. Honest mista… ",,akuma_river,,
91,509,,7.96E+017,11/1/2016 16:51:00,,909434454,"Paul Ryan just voted for Trump. What a zero, saving millionaires from paying more in taxes. Vote for a real hero",,fwdcrocblu,,
92,1,,7.96E+017,11/8/2016 1:21:00,,208697224,In which I discuss Paul Ryan. Sort of.,http://www.mtv.com/news/2952164/the-stakes-after-dark-election-eve-edition/,MTVPolitics,,
93,0,,7.96E+017,11/8/2016 22:26:00,7.96E+017,,@linusalf @woolie Sanders and Paul Ryan can work together on this issue. bipartisanship achieved!,,eean,,
94,36,,7.96E+017,11/5/2016 20:36:00,7.95E+017,22232322,"TRUMP: Melania came here in search of a better life.
RYAN: Yes. I'm sorry.
TRUMP: It was an act of love, Paul!
RYAN: Of course. I honor that",,akuma_river,,
95,656,,7.96E+017,11/8/2016 8:33:00,,2987929881,Here's a very important message from the man that dared to challenge Paul Ryan in the primary -- Paul Nehlen.…,https://t.co/CLeUZB2bJr,KarenCrow6,,
96,0,MSMfail,7.96E+017,11/8/2016 22:26:00,7.96E+017,," @jpodhoretz 58% job approval for President Obama in the ABC-Washington Post poll

Paul Ryan's GOP Congress: 12%

",,JamesDubhthaigh,,
97,0,,7.96E+017,11/8/2016 22:27:00,,,"WWDC to Be Held June 13 to June 17 in Paramus, NJ has a Jaguar dealer, a Steinway dealer, and Paul Ryan is an interesting guy.",,nickplee_ebooks,,
98,0,,7.96E+017,11/8/2016 22:27:00,7.96E+017,,@m_m_myers god I hope WI blue is strong enough to fire Paul Ryan.,,TheFuggle,,
